InvoiceID,CustomerID,InvoiceDate,ProductCategory,ProductID,Quantity,UnitPrice,DiscountPct,PaymentMethod,Returned
INV100026,C1287,2024-06-17 23:18:00,Fashion,P782,4,4999,20,Wallet,0
INV100027,C1862,2024-11-28 11:28:00,Sports,P386,3,299,10,NetBanking,0
INV100028,C1846,2024-10-10 15:11:00,Home,P481,4,499,5,NetBanking,0
INV100029,C1228,2024-01-24 07:55:00,Books,P131,2,2499,15,Cash,1
INV100030,C1861,2024-11-28 18:34:00,Home,P479,1,799,5,UPI,0
INV100031,C1570,2025-06-17 05:28:00,Books,P928,4,199,5,Wallet,0
INV100032,C1768,2025-01-26 16:21:00,Home,P295,3,999,0,Wallet,0
INV100033,C1670,2025-11-22 06:39:00,Books,P521,5,999,20,NetBanking,1
INV100034,C1040,2024-03-06 21:15:00,Fashion,P268,1,499,30,UPI,0
INV100035,C1862,2025-11-18 14:42:00,Electronics,P130,4,199,15,UPI,0
INV100036,C1935,2024-04-25 23:45:00,Fashion,P315,4,2499,30,Cash,0
INV100037,C1926,2025-02-09 14:18:00,Sports,P822,1,4999,15,Card,0
INV100038,C1232,2024-03-10 06:36:00,Home,P126,2,299,20,UPI,0
INV100039,C1035,2024-06-16 10:13:00,Home,P738,5,199,20,Cash,0
INV100040,C1016,2025-03-26 19:32:00,Grocery,P294,5,299,15,Wallet,1
INV100041,C1054,2025-10-04 23:58:00,Books,P276,1,1499,30,Cash,0
INV100042,C1795,2025-10-28 19:27:00,Fashion,P686,3,199,10,Cash,0
INV100043,C1523,2024-06-15 21:32:00,Electronics,P183,5,199,15,UPI,0
INV100044,C1183,2025-03-19 08:57:00,Electronics,P695,1,299,30,NetBanking,0
INV100045,C1144,2025-11-16 13:20:00,Sports,P956,1,799,5,UPI,0
INV100046,C1320,2025-07-23 23:12:00,Fashion,P385,3,199,5,Wallet,0
INV100047,C1728,2025-10-30 03:04:00,Grocery,P949,3,199,30,NetBanking,0
INV100048,C1708,2025-08-02 12:21:00,Home,P899,4,999,5,Card,0
INV100049,C1904,2025-01-26 07:31:00,Electronics,P793,5,999,15,Card,0
INV100050,C1452,2025-11-29 09:10:00,Books,P186,5,999,5,UPI,0
INV100051,C1919,2024-12-31 14:15:00,Fashion,P861,4,2499,10,Card,1
INV100052,C1144,2024-01-19 08:29:00,Electronics,P791,5,799,10,UPI,0
INV100053,C1283,2025-07-16 03:04:00,Home,P179,5,999,30,Wallet,1
INV100054,C1138,2025-02-14 23:30:00,Books,P411,3,799,5,NetBanking,0
INV100055,C1521,2024-03-09 00:43:00,Sports,P663,3,499,15,UPI,0
INV100056,C1828,2025-07-03 00:28:00,Fashion,P286,4,4999,0,Card,0
INV100057,C1206,2025-11-29 21:21:00,Fashion,P805,3,299,5,Card,0
INV100058,C1979,2024-11-01 21:22:00,Fashion,P775,3,299,0,Wallet,1
INV100059,C1041,2024-10-08 08:02:00,Books,P336,2,799,5,UPI,0
INV100060,C1223,2024-09-16 12:41:00,Home,P727,1,199,30,UPI,0
INV100061,C1332,2025-10-09 00:15:00,Sports,P945,4,2499,20,UPI,0
INV100062,C1125,2025-10-01 04:25:00,Books,P630,3,2499,0,NetBanking,1
INV100063,C1148,2025-08-02 06:56:00,Books,P817,1,999,0,UPI,0
INV100064,C1516,2024-04-28 13:48:00,Books,P118,2,2499,15,Cash,0
INV100065,C1762,2025-06-25 05:30:00,Grocery,P462,1,4999,0,Card,0
INV100066,C1852,2025-12-05 04:59:00,Fashion,P262,1,499,0,UPI,0
INV100067,C1575,2025-12-19 03:58:00,Sports,P112,2,2499,20,Cash,1
INV100068,C1002,2024-09-09 07:20:00,Home,P520,4,299,20,NetBanking,0
INV100069,C1025,2024-10-15 13:10:00,Books,P178,5,199,5,Card,0
INV100070,C1465,2024-08-22 20:43:00,Fashion,P185,4,4999,15,Wallet,0
INV100071,C1668,2025-03-03 20:51:00,Home,P503,2,2499,10,UPI,1
INV100072,C1433,2024-07-28 14:04:00,Sports,P429,2,299,20,Wallet,0
INV100073,C1758,2024-02-15 14:59:00,Home,P257,3,799,10,UPI,0
INV100074,C1157,2024-02-23 13:51:00,Fashion,P722,3,999,30,UPI,1
INV100075,C1532,2024-06-26 08:26:00,Fashion,P653,3,999,20,UPI,0
INV100076,C1867,2025-08-14 12:18:00,Sports,P302,3,199,10,Card,1
INV100077,C1594,2025-11-28 00:29:00,Sports,P379,4,299,0,NetBanking,0
INV100078,C1687,2025-10-20 03:35:00,Sports,P903,5,499,0,NetBanking,0
INV100079,C1011,2025-07-07 07:45:00,Fashion,P761,5,299,30,Card,0
INV100080,C1182,2025-05-26 08:19:00,Grocery,P126,2,199,15,Cash,0
INV100081,C1071,2025-11-30 13:27:00,Grocery,P397,5,4999,30,UPI,0
INV100082,C1804,2025-06-15 09:44:00,Sports,P649,1,4999,10,UPI,0
INV100083,C1953,2025-04-29 08:30:00,Grocery,P793,5,2499,0,NetBanking,0
INV100084,C1282,2025-02-09 20:21:00,Books,P306,1,799,0,Cash,0
INV100085,C1374,2025-12-04 16:41:00,Home,P863,4,999,20,Cash,0
INV100086,C1233,2025-10-13 10:51:00,Grocery,P232,3,499,0,Card,1
INV100087,C1716,2024-01-02 18:04:00,Sports,P254,3,4999,0,NetBanking,1
INV100088,C1031,2024-01-03 22:46:00,Fashion,P379,5,1499,0,Cash,0
INV100089,C1677,2024-08-03 16:49:00,Grocery,P162,3,2499,0,Card,0
INV100090,C1084,2025-01-30 10:12:00,Electronics,P638,4,799,0,Cash,0
INV100091,C1209,2025-05-02 09:49:00,Home,P453,4,2499,30,NetBanking,0
INV100092,C1647,2024-04-18 20:01:00,Home,P267,1,299,30,Wallet,0
INV100093,C1037,2025-11-04 05:30:00,Grocery,P349,5,199,20,Cash,0
INV100094,C1830,2025-09-01 15:03:00,Fashion,P339,4,499,15,Wallet,0
INV100095,C1512,2025-05-24 15:57:00,Electronics,P805,4,2499,20,Card,0
INV100096,C1697,2024-09-27 11:13:00,Sports,P674,3,4999,0,Cash,0
INV100097,C1118,2024-10-04 15:07:00,Home,P885,4,2499,20,Card,0
INV100098,C1478,2025-01-04 08:49:00,Books,P769,2,999,30,Cash,1
INV100099,C1551,2025-10-29 05:36:00,Books,P984,4,299,5,Wallet,0
INV100100,C1441,2025-11-05 09:50:00,Grocery,P540,2,299,15,Cash,0
INV100101,C1336,2024-09-10 11:22:00,Books,P655,5,4999,10,Cash,0
INV100102,C1641,2025-07-02 08:56:00,Books,P911,4,999,10,Cash,0
INV100103,C1278,2025-11-19 01:13:00,Grocery,P682,2,199,15,Card,0
INV100104,C1423,2024-07-27 12:48:00,Electronics,P878,2,4999,0,NetBanking,0
INV100105,C1176,2024-05-16 05:21:00,Electronics,P192,4,2499,30,UPI,1
INV100106,C1962,2025-07-16 04:46:00,Home,P357,1,4999,20,Cash,0
INV100107,C1740,2024-06-05 05:27:00,Sports,P897,1,1499,20,NetBanking,1
INV100108,C1365,2024-06-05 19:39:00,Sports,P769,1,1499,20,Wallet,1
INV100109,C1801,2024-09-13 20:22:00,Sports,P452,5,999,10,Card,0
INV100110,C1970,2024-04-27 07:46:00,Electronics,P885,4,2499,5,Cash,1
INV100111,C1480,2025-03-28 02:51:00,Books,P412,2,199,0,Card,0
INV100112,C1010,2025-01-11 08:33:00,Sports,P873,1,299,20,UPI,0
INV100113,C1156,2024-06-25 16:53:00,Books,P553,5,799,10,NetBanking,0
INV100114,C1220,2025-08-25 13:52:00,Grocery,P508,5,999,10,Cash,0
INV100115,C1265,2025-04-26 09:06:00,Sports,P924,1,2499,10,UPI,0
INV100116,C1691,2024-06-05 18:35:00,Home,P631,5,299,5,NetBanking,0
INV100117,C1113,2025-10-02 21:11:00,Grocery,P226,3,499,20,Wallet,0
INV100118,C1904,2025-05-08 22:09:00,Sports,P927,1,2499,5,UPI,0
INV100119,C1696,2024-05-07 09:14:00,Books,P451,3,299,5,NetBanking,0
INV100120,C1671,2024-10-14 02:34:00,Fashion,P860,1,199,20,NetBanking,1
INV100121,C1798,2025-09-26 18:59:00,Fashion,P995,4,799,30,Wallet,0
INV100122,C1199,2024-10-11 11:47:00,Grocery,P710,2,1499,10,NetBanking,0
INV100123,C1548,2025-01-10 04:52:00,Books,P641,3,999,30,UPI,0
INV100124,C1280,2025-06-29 10:29:00,Fashion,P402,4,2499,10,Cash,0
INV100125,C1117,2024-12-21 18:31:00,Home,P835,2,799,5,Card,1
INV100126,C1243,2025-02-10 03:55:00,Electronics,P840,2,799,10,NetBanking,0
INV100127,C1642,2024-07-03 15:25:00,Books,P525,2,299,20,UPI,1
INV100128,C1237,2024-03-27 13:49:00,Sports,P878,3,4999,0,UPI,0
INV100129,C1268,2025-03-27 07:44:00,Fashion,P647,3,199,5,Card,0
INV100130,C1970,2024-01-18 11:07:00,Books,P710,4,499,5,UPI,1
INV100131,C1009,2025-12-25 22:33:00,Home,P342,5,999,0,UPI,0
INV100132,C1307,2024-11-26 19:41:00,Books,P272,2,999,0,Card,0
INV100133,C1473,2025-12-15 08:37:00,Fashion,P805,5,199,30,Wallet,0
INV100134,C1264,2024-09-01 08:42:00,Electronics,P922,3,2499,5,NetBanking,0
INV100135,C1490,2024-06-17 14:14:00,Fashion,P989,1,2499,10,Wallet,1
INV100136,C1036,2025-04-23 14:57:00,Books,P709,5,799,0,NetBanking,0
INV100137,C1961,2025-05-06 12:51:00,Grocery,P264,5,299,30,UPI,0
INV100138,C1507,2025-07-19 21:35:00,Sports,P558,5,499,10,Cash,0
INV100139,C1105,2025-07-12 00:14:00,Sports,P706,4,2499,10,Card,0
INV100140,C1211,2024-06-18 14:21:00,Home,P545,3,799,0,Card,0
INV100141,C1790,2025-05-26 09:47:00,Books,P116,5,499,5,Wallet,0
INV100142,C1972,2025-05-31 17:49:00,Electronics,P847,3,799,0,Cash,1
INV100143,C1683,2024-10-13 22:44:00,Electronics,P759,4,799,30,Cash,0
INV100144,C1467,2024-06-12 21:05:00,Home,P914,3,4999,15,Wallet,1
INV100145,C1531,2024-05-06 07:39:00,Electronics,P274,4,299,0,Card,0
INV100146,C1176,2025-11-07 16:59:00,Electronics,P791,3,199,30,UPI,0
INV100147,C1679,2025-08-30 22:51:00,Home,P694,3,499,15,Wallet,0
INV100148,C1313,2024-11-10 23:53:00,Home,P555,2,4999,15,Cash,0
INV100149,C1671,2024-02-20 14:43:00,Fashion,P597,4,2499,15,Wallet,0
INV100150,C1959,2025-12-29 03:31:00,Sports,P743,5,2499,5,Card,1
INV100151,C1128,2025-10-02 08:03:00,Fashion,P554,3,4999,20,Wallet,0
INV100152,C1225,2025-04-03 06:05:00,Sports,P887,3,799,20,Cash,0
INV100153,C1106,2025-07-11 12:46:00,Home,P792,1,799,20,Card,0
INV100154,C1279,2024-01-02 22:03:00,Grocery,P107,4,799,0,Wallet,1
INV100155,C1212,2025-10-07 21:58:00,Sports,P973,5,799,20,Cash,1
INV100156,C1346,2024-07-20 10:28:00,Sports,P308,1,4999,15,NetBanking,0
INV100157,C1027,2025-03-28 13:24:00,Electronics,P194,4,1499,5,Wallet,0
INV100158,C1723,2024-01-18 00:29:00,Grocery,P588,2,2499,30,UPI,0
INV100159,C1258,2025-08-18 00:43:00,Books,P444,4,4999,0,Card,1
INV100160,C1346,2025-05-02 15:12:00,Sports,P306,5,499,15,Card,0
INV100161,C1994,2025-08-12 17:24:00,Grocery,P877,5,4999,5,Cash,1
INV100162,C1470,2025-05-20 15:40:00,Books,P184,2,999,0,Wallet,1
INV100163,C1928,2025-02-07 04:45:00,Home,P725,5,299,0,Wallet,0
INV100164,C1862,2025-11-15 13:50:00,Books,P956,3,1499,20,Card,0
INV100165,C1802,2025-11-26 22:00:00,Sports,P694,5,2499,30,UPI,0
INV100166,C1988,2024-05-14 01:05:00,Home,P864,2,799,15,Card,0
INV100167,C1746,2024-09-22 01:29:00,Electronics,P677,1,299,0,Wallet,0
INV100168,C1419,2024-02-08 23:38:00,Grocery,P360,3,999,30,Wallet,0
INV100169,C1784,2025-08-09 16:49:00,Books,P675,2,799,15,Cash,0
INV100170,C1080,2024-09-09 21:22:00,Grocery,P208,3,199,10,Cash,1
INV100171,C1163,2025-07-27 09:51:00,Fashion,P620,4,199,5,Cash,0
INV100172,C1004,2025-12-24 00:00:00,Books,P413,2,299,20,NetBanking,0
INV100173,C1190,2024-12-18 21:59:00,Grocery,P375,5,999,5,Wallet,0
INV100174,C1424,2025-01-16 14:45:00,Electronics,P388,2,4999,0,Cash,0
INV100175,C1993,2024-04-30 06:23:00,Electronics,P984,1,4999,0,Card,0
INV100176,C1384,2025-01-23 13:44:00,Books,P227,5,4999,5,UPI,0
INV100177,C1023,2024-08-10 19:44:00,Electronics,P692,3,1499,15,NetBanking,0
INV100178,C1375,2024-02-10 23:23:00,Home,P721,3,199,15,Wallet,0
INV100179,C1543,2025-08-17 03:06:00,Sports,P931,3,499,0,Card,0
INV100180,C1170,2025-11-16 06:16:00,Grocery,P350,3,299,10,Cash,0
INV100181,C1399,2024-03-30 17:29:00,Home,P145,1,1499,30,Wallet,0
INV100182,C1325,2024-07-03 06:04:00,Electronics,P535,4,1499,20,NetBanking,0
INV100183,C1575,2024-09-05 20:45:00,Fashion,P781,2,1499,5,Card,0
INV100184,C1930,2024-03-19 16:13:00,Sports,P855,2,2499,5,NetBanking,0
INV100185,C1704,2025-06-20 23:17:00,Fashion,P132,3,1499,15,NetBanking,0
INV100186,C1430,2024-10-01 09:05:00,Home,P233,4,4999,5,UPI,0
INV100187,C1944,2024-09-01 04:32:00,Grocery,P590,4,499,5,UPI,0
INV100188,C1245,2025-06-10 01:39:00,Grocery,P651,3,999,10,UPI,0
INV100189,C1519,2024-12-07 04:24:00,Grocery,P798,2,999,5,Wallet,0
INV100190,C1666,2025-08-13 01:43:00,Grocery,P572,4,2499,5,UPI,0
INV100191,C1374,2025-01-16 21:09:00,Sports,P479,4,499,5,NetBanking,0
INV100192,C1887,2024-09-24 07:32:00,Books,P403,1,2499,5,Cash,0
INV100193,C1384,2025-08-29 15:03:00,Books,P172,1,199,5,Card,0
INV100194,C1653,2025-05-03 22:14:00,Fashion,P942,2,999,15,Cash,1
INV100195,C1098,2025-07-02 04:30:00,Electronics,P605,5,299,0,Card,0
INV100196,C1763,2024-01-26 21:18:00,Electronics,P382,1,4999,0,UPI,1
INV100197,C1571,2025-07-04 07:18:00,Books,P619,3,1499,10,Cash,0
INV100198,C1445,2024-10-18 19:21:00,Fashion,P684,5,1499,5,Card,0
INV100199,C1194,2024-12-09 01:42:00,Fashion,P920,1,4999,10,UPI,1
INV100200,C1324,2024-09-20 10:07:00,Books,P322,5,2499,5,Wallet,0
INV100201,C1663,2025-04-28 23:40:00,Grocery,P853,3,4999,0,UPI,0
INV100202,C1254,2024-02-12 16:01:00,Fashion,P878,4,299,0,Wallet,0
INV100203,C1293,2025-06-11 09:25:00,Books,P853,4,799,5,Wallet,0
INV100204,C1875,2025-04-18 08:36:00,Home,P799,4,999,30,UPI,0
INV100205,C1522,2025-09-21 21:32:00,Home,P361,4,799,5,NetBanking,0
INV100206,C1458,2024-01-21 05:39:00,Books,P822,2,799,0,Cash,0
INV100207,C1153,2024-09-19 16:23:00,Sports,P686,4,1499,15,UPI,0
INV100208,C1797,2024-07-23 20:00:00,Home,P121,3,999,10,NetBanking,0
INV100209,C1622,2025-09-20 23:06:00,Electronics,P367,1,4999,20,NetBanking,0
INV100210,C1309,2024-06-05 22:42:00,Electronics,P815,2,2499,15,NetBanking,0
INV100211,C1099,2024-12-04 10:12:00,Sports,P426,1,4999,20,UPI,0
INV100212,C1252,2025-09-30 10:49:00,Home,P541,4,1499,10,NetBanking,1
INV100213,C1288,2024-08-26 08:28:00,Fashion,P403,1,999,20,Cash,0
INV100214,C1625,2025-09-29 18:14:00,Fashion,P966,3,799,15,UPI,1
INV100215,C1622,2024-11-17 22:13:00,Books,P589,4,799,30,NetBanking,0
INV100216,C1723,2025-12-24 22:30:00,Electronics,P466,5,1499,0,Card,1
INV100217,C1427,2025-06-25 20:17:00,Books,P731,3,1499,15,UPI,0
INV100218,C1532,2025-09-15 05:18:00,Fashion,P502,2,199,10,Wallet,1
INV100219,C1514,2025-07-03 06:11:00,Books,P786,3,999,10,Card,0
INV100220,C1753,2025-09-27 06:34:00,Grocery,P488,3,299,20,NetBanking,0
INV100221,C1228,2024-06-28 22:36:00,Electronics,P907,3,999,20,Wallet,1
INV100222,C1104,2024-08-25 04:45:00,Grocery,P629,1,4999,10,Wallet,0
INV100223,C1294,2024-04-04 22:39:00,Fashion,P928,1,2499,30,Card,0
INV100224,C1999,2025-02-14 11:19:00,Grocery,P249,3,999,20,Card,0
INV100225,C1803,2025-05-06 10:55:00,Books,P735,1,199,10,Cash,0
INV100226,C1540,2025-09-02 11:27:00,Electronics,P504,3,999,20,Wallet,1
INV100227,C1001,2025-08-29 06:02:00,Fashion,P459,1,499,30,Wallet,0
INV100228,C1663,2024-08-06 09:16:00,Sports,P169,3,2499,20,Card,1
INV100229,C1410,2025-03-20 19:20:00,Fashion,P964,5,299,20,UPI,0
INV100230,C1796,2024-02-14 04:24:00,Fashion,P961,3,799,5,Wallet,1
INV100231,C1004,2024-05-17 19:00:00,Electronics,P964,3,499,5,UPI,0
INV100232,C1932,2024-05-20 23:35:00,Books,P742,2,499,0,Cash,0
INV100233,C1711,2025-06-29 19:58:00,Home,P494,2,199,30,Cash,0
INV100234,C1669,2025-02-13 04:25:00,Fashion,P508,1,499,20,Cash,0
INV100235,C1323,2025-04-21 10:14:00,Sports,P559,4,499,10,Card,0
INV100236,C1195,2024-09-03 07:25:00,Grocery,P959,3,999,10,Cash,0
INV100237,C1625,2025-12-28 06:22:00,Grocery,P179,4,4999,10,Cash,0
INV100238,C1795,2024-10-10 11:42:00,Fashion,P288,5,299,0,UPI,0
INV100239,C1576,2024-04-29 06:10:00,Fashion,P842,5,4999,20,UPI,0
INV100240,C1236,2024-10-31 02:24:00,Electronics,P266,3,299,15,NetBanking,1
INV100241,C1936,2025-10-18 11:03:00,Home,P409,3,299,5,Card,0
INV100242,C1776,2024-09-15 01:47:00,Grocery,P292,5,799,20,Cash,0
INV100243,C1570,2024-10-31 12:51:00,Electronics,P355,4,4999,0,Wallet,1
INV100244,C1207,2024-07-31 16:11:00,Grocery,P825,4,999,15,Wallet,1
INV100245,C1832,2025-06-11 16:25:00,Home,P975,4,4999,5,NetBanking,0
INV100246,C1508,2024-12-02 23:35:00,Sports,P470,1,799,15,Wallet,0
INV100247,C1839,2024-11-17 06:13:00,Sports,P948,3,499,0,UPI,1
INV100248,C1491,2024-08-14 12:50:00,Sports,P292,4,499,5,Cash,1
INV100249,C1351,2025-11-03 06:52:00,Fashion,P298,2,1499,15,Cash,0
INV100250,C1305,2024-08-17 05:41:00,Books,P735,2,999,0,Wallet,0
INV100251,C1083,2025-01-06 23:12:00,Grocery,P797,1,299,10,UPI,0
INV100252,C1683,2025-01-11 03:36:00,Home,P677,2,1499,0,Card,0
INV100253,C1156,2024-05-30 14:11:00,Home,P713,1,299,0,UPI,0
INV100254,C1540,2025-11-17 16:58:00,Fashion,P683,2,499,0,Card,1
INV100255,C1140,2024-08-21 00:53:00,Fashion,P515,2,799,30,NetBanking,0
INV100256,C1375,2024-03-21 01:32:00,Electronics,P530,2,1499,10,NetBanking,0
INV100257,C1832,2024-03-06 04:14:00,Electronics,P938,5,2499,15,Wallet,0
INV100258,C1555,2025-02-18 00:59:00,Grocery,P993,3,4999,0,NetBanking,0
INV100259,C1084,2024-08-31 14:55:00,Fashion,P137,2,999,20,Cash,0
INV100260,C1094,2024-07-22 03:15:00,Electronics,P626,3,1499,15,Wallet,0
INV100261,C1537,2025-08-18 14:05:00,Sports,P568,1,499,15,UPI,0
INV100262,C1989,2025-07-01 09:19:00,Grocery,P720,2,799,15,Card,1
INV100263,C1599,2025-02-01 10:33:00,Sports,P636,2,499,15,Card,0
INV100264,C1218,2024-01-02 23:43:00,Home,P256,3,299,10,Card,0
INV100265,C1647,2025-09-23 06:32:00,Sports,P327,5,999,15,Card,0
INV100266,C1365,2025-02-14 03:33:00,Grocery,P522,5,2499,10,NetBanking,0
INV100267,C1137,2024-06-14 14:06:00,Books,P107,3,2499,5,Card,0
INV100268,C1975,2025-04-24 09:12:00,Electronics,P676,1,999,15,UPI,0
INV100269,C1281,2025-10-13 12:59:00,Sports,P659,3,199,5,Card,0
INV100270,C1325,2025-10-12 23:19:00,Home,P653,1,4999,30,UPI,1
INV100271,C1006,2024-03-02 21:38:00,Books,P109,2,199,10,UPI,1
INV100272,C1482,2024-02-28 00:38:00,Sports,P544,2,299,15,NetBanking,0
INV100273,C1861,2024-11-04 09:51:00,Home,P611,4,499,5,Wallet,1
INV100274,C1151,2024-12-05 18:38:00,Books,P472,2,499,10,UPI,0
INV100275,C1961,2024-05-22 02:08:00,Grocery,P365,4,499,20,Card,0
INV100276,C1899,2025-10-19 05:13:00,Electronics,P656,3,499,0,NetBanking,0
INV100277,C1199,2025-09-05 10:29:00,Fashion,P995,5,299,20,Cash,0
INV100278,C1582,2025-07-12 01:06:00,Books,P805,2,999,20,Cash,0
INV100279,C1084,2025-01-28 04:16:00,Home,P344,1,999,5,Cash,0
INV100280,C1851,2024-03-08 20:23:00,Grocery,P699,2,1499,10,Cash,0
INV100281,C1093,2024-08-19 11:36:00,Sports,P903,4,999,15,Cash,0
INV100282,C1043,2025-03-15 18:39:00,Sports,P350,4,499,30,NetBanking,0
INV100283,C1419,2024-08-27 14:42:00,Books,P867,5,2499,10,Card,1
INV100284,C1801,2024-11-30 02:42:00,Books,P609,4,1499,5,Wallet,0
INV100285,C1637,2025-06-14 06:12:00,Sports,P649,3,1499,30,Wallet,0
INV100286,C1457,2025-10-15 02:25:00,Grocery,P973,1,799,0,Card,0
INV100287,C1395,2024-12-24 21:36:00,Electronics,P530,4,799,5,Wallet,0
INV100288,C1757,2025-08-26 05:59:00,Sports,P551,1,199,30,NetBanking,1
INV100289,C1013,2025-04-04 09:29:00,Fashion,P434,4,299,30,NetBanking,0
INV100290,C1173,2024-05-16 02:55:00,Books,P719,4,199,20,Wallet,0
INV100291,C1274,2025-11-08 13:36:00,Home,P152,3,999,10,Wallet,0
INV100292,C1865,2024-01-02 04:12:00,Fashion,P522,2,4999,0,Wallet,0
INV100293,C1327,2025-08-04 08:10:00,Fashion,P661,1,499,20,Wallet,1
INV100294,C1322,2024-01-19 10:26:00,Electronics,P593,3,999,20,Card,0
INV100295,C1578,2025-11-07 21:34:00,Home,P848,3,4999,10,Wallet,0
INV100296,C1932,2024-12-17 08:59:00,Sports,P587,5,499,10,NetBanking,0
INV100297,C1911,2024-01-15 01:00:00,Sports,P400,2,999,20,Wallet,0
INV100298,C1432,2025-07-04 12:23:00,Home,P444,2,799,30,UPI,0
INV100299,C1326,2024-10-14 22:52:00,Fashion,P748,3,299,15,NetBanking,0
INV100300,C1301,2024-03-02 06:12:00,Books,P140,3,1499,10,Wallet,1
INV100301,C1607,2025-02-08 15:20:00,Fashion,P430,4,999,20,Wallet,1
INV100302,C1339,2024-08-16 23:52:00,Grocery,P671,5,2499,20,UPI,0
INV100303,C1299,2025-09-25 11:08:00,Sports,P940,3,1499,15,Cash,0
INV100304,C1740,2025-12-08 02:30:00,Home,P359,2,799,10,UPI,1
INV100305,C1394,2024-10-24 03:22:00,Electronics,P912,1,299,15,Cash,0
INV100306,C1627,2025-06-21 05:41:00,Books,P295,2,299,5,Cash,0
INV100307,C1182,2025-08-05 07:55:00,Grocery,P244,1,499,0,Card,0
INV100308,C1825,2024-10-08 13:55:00,Grocery,P354,4,199,0,NetBanking,0
INV100309,C1119,2024-03-25 01:17:00,Fashion,P685,2,1499,10,NetBanking,0
INV100310,C1949,2025-11-08 17:45:00,Grocery,P168,5,499,10,Wallet,0
INV100311,C1643,2024-05-11 00:53:00,Electronics,P748,5,199,20,Cash,0
INV100312,C1093,2024-03-01 15:41:00,Sports,P472,1,199,0,Wallet,0
INV100313,C1959,2024-10-31 18:02:00,Fashion,P804,5,799,10,UPI,0
INV100314,C1661,2025-04-09 23:03:00,Home,P265,2,499,20,UPI,1
INV100315,C1856,2024-12-17 19:49:00,Home,P158,2,2499,5,Cash,0
INV100316,C1961,2025-09-19 02:56:00,Sports,P936,1,499,0,Card,0
INV100317,C1054,2024-12-22 22:03:00,Electronics,P760,1,499,20,NetBanking,0
INV100318,C1713,2025-07-28 03:33:00,Fashion,P845,4,199,5,Cash,0
INV100319,C1164,2025-01-04 03:31:00,Home,P746,1,999,5,NetBanking,0
INV100320,C1920,2025-02-05 01:49:00,Home,P936,2,499,30,Card,0
INV100321,C1637,2025-05-25 13:42:00,Fashion,P570,4,2499,5,Wallet,1
INV100322,C1887,2025-07-07 13:31:00,Electronics,P921,5,199,20,Card,0
INV100323,C1950,2025-11-10 00:54:00,Home,P993,3,1499,10,Card,0
INV100324,C1602,2024-04-12 00:02:00,Fashion,P991,5,199,0,NetBanking,0
INV100325,C1036,2024-02-14 21:08:00,Sports,P386,3,799,20,Card,0
INV100326,C1238,2024-03-06 12:50:00,Electronics,P815,5,1499,0,Cash,0
INV100327,C1559,2024-04-23 20:47:00,Books,P492,4,2499,15,Wallet,0
INV100328,C1151,2025-11-13 22:05:00,Fashion,P728,3,1499,20,UPI,0
INV100329,C1396,2024-09-16 16:14:00,Electronics,P212,4,299,5,UPI,0
INV100330,C1214,2025-02-26 13:19:00,Fashion,P331,3,199,5,Wallet,1
